name
"Shanghai Knights,Bride of Chucky,Wanted,Sahara,Night at the Museum: Battle of the Smithsonian,First Knight,Around the World in 80 Days,Monty Python and the Holy Grail,Doom,You Kill Me,Surrogates,Casino Jack,A Sound of Thunder,A Knight's Tale,Wild Target,Elizabethtown,Pineapple Express,Free State of Jones,Three Kingdoms: Resurrection of the Dragon,My Beautiful Laundrette,Four Brothers,Zoolander,Robin Hood,Jackass: The Movie,Hidalgo"
"Curious George,The Lego Movie,Jungle Shuffle,Monsters University,Minions,Stuart Little 2,Despicable Me 2,The Land Before Time,The Croods,Barnyard,Over the Hedge,Meet the Deedles,The Lion of Judah,Surf's Up,Frozen,A Bug's Life,Rio 2,The Smurfs,The SpongeBob Movie: Sponge Out of Water,Jonah: A VeggieTales Movie,Madagascar,Flushed Away,Cars,George of the Jungle,Foodfight!"
"Herbie Fully Loaded,Cars 2,The Adventures of Huck Finn,The Lizzie McGuire Movie,Super Mario Bros.,Cars,Meet the Deedles,The Jungle Book,Aladdin,102 Dalmatians,Beverly Hills Chihuahua,Fantasia,Snow Dogs,A Bug's Life,Sky High,Who Killed the Electric Car?,Joe Dirt,The Emperor's New Groove,The Santa Clause,Alvin and the Chipmunks: The Road Chip,Tuck Everlasting,The Haunted Mansion,The Lion of Judah,Robin Hood,The Tigger Movie"
"Don't Say a Word,Joy Ride,Mr. & Mrs. Smith,Runner Runner,Goosebumps,A Sound of Thunder,Ghostbusters,Bride Wars,Monte Carlo,K-19: The Widowmaker,The Revenant,Noah,Shutter,The Sentinel,The Black Dahlia,Life or Something Like It,The Fountain,The Devil's Advocate,Jumping the Broom,The Darkest Hour,Copycat,Black Knight,Eight Legged Freaks,Timecop,Bandits"
"Hansel & Gretel: Witch Hunters,The Witch,Paranormal Activity 3,Timber Falls,Resident Evil: Extinction,Walking Tall,Book of Shadows: Blair Witch 2,Blood and Chocolate,The Golden Child,The Devil's Tomb,The Last Witch Hunter,Daddy's Home,The Amityville Horror,Army of Darkness,Hansel and Gretel Get Baked,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Barbarella,Lara Croft Tomb Raider: The Cradle of Life,Agent Cody Banks 2: Destination London,Friday the 13th Part VII: The New Blood,Mad Max Beyond Thunderdome,The Craft,Oz: The Great and Powerful,Young Guns,Nanny McPhee"
"Unfaithful,Man on Fire,Kinsey,Runner Runner,Mr. & Mrs. Smith,Juno,Gone Girl,Stoker,Don't Say a Word,Joy Ride,Noah,Life or Something Like It,The Revenant,K-19: The Widowmaker,The Counselor,Cat People,Bride Wars,Black Swan,City By The Sea,The Longest Ride,The Book Thief,The Girl Next Door,Departure,Just My Luck,Choke"
"I Am Number Four,Forsaken,Inspector Gadget,Memento,Commando,All Is Lost,Driven,Faster,Pound of Flesh,Madison,Stripes,Homefront,Crimson Tide,The Legend of Hercules,Gran Torino,Should've Been Romeo,Copying Beethoven,Wild Target,Breakdown,Tombstone,How to Fall in Love,Apocalypto,The Big Hit,Me You and Five Bucks,Riddick"
"Syriana,Argo,The Kingdom,JFK,Malone,Patriot Games,The November Man,Fair Game,Bad Company,Confessions of a Dangerous Mind,Contagion,Dying of the Light,Lucky Number Slevin,The American,Spotlight,The Sum of All Fears,Vantage Point,The Bourne Supremacy,Clear and Present Danger,Sicario,Silent Trigger,Ninja Assassin,The Informant!,Rendition,The Bourne Legacy"
"13 Hours: The Secret Soldiers of Benghazi,A Sound of Thunder,Lone Survivor,Ararat,Redacted,We Were Soldiers,Gods and Generals,The Black Dahlia,Margin Call,Machete Kills,K-19: The Widowmaker,Extreme Ops,A Dangerous Method,Arbitrage,Pi,The Finest Hours,Red Tails,Blackthorn,Enemy at the Gates,Project Almanac,An American Haunting,FearDotCom,Marie Antoinette,Choke,The Imitation Game"
"The Book of Life,The Peanuts Movie,Kung Fu Panda 3,Fantastic Mr. Fox,Rio,Monkeybone,Rio 2,Ice Age: Continental Drift,Titan A.E.,Khumba,Anastasia,State Fair,The Croods,Bulworth,Grandma's Boy,We Bought a Zoo,All That Jazz,Doctor Dolittle,Mrs. Doubtfire,Garfield: A Tail of Two Kitties,Fat Albert,Eragon,Ice Age,Deadline - U.S.A.,Master and Commander: The Far Side of the World"
"Firewall,Ladder 49,Sherlock Holmes: A Game of Shadows,Little Fockers,Jack and Jill,A Thousand Words,Jack Brooks: Monster Slayer,City By The Sea,Winter's Tale,Yes Man,Lucky You,Patriot Games,Ghostbusters,Donnie Brasco,Jack the Giant Slayer,Infamous,The Ballad of Jack and Rose,Highway,Speed Racer,The Invention of Lying,Timecop,Cinderella Man,Casino Jack,San Andreas,Jack Ryan: Shadow Recruit"
"Absolute Power,The Contender,All the King's Men,State of Play,Striptease,I Am Wrath,On the Waterfront,The Pledge,Salton Sea,Man of the Year,Deadfall,White House Down,Casino Jack,The Lady from Shanghai,Zero Effect,Deterrence,Wanted,The Bourne Supremacy,Slow Burn,Lone Star,Prisoners,We Own the Night,The American President,Patriot Games,City Hall"
"G.I. Jane,White Squall,Lone Survivor,A Sound of Thunder,Stealth,Doom,Starship Troopers,Whip It,Sahara,Mindhunters,The Butler,The Pledge,Good Night, and Good Luck.,Blood Diamond,13 Hours: The Secret Soldiers of Benghazi,We Were Soldiers,Flyboys,The Black Dahlia,The Jacket,Jarhead,Amidst the Devil's Wings,Extreme Ops,Adam,Stop-Loss,An Alan Smithee Film: Burn, Hollywood, Burn"
"The Game,Casino Royale,Stitches,Poolhall Junkies,Wah-Wah,Shame,Focus,Spider,21 & Over,We Bought a Zoo,Hannibal Rising,The Proposition,Only God Forgives,Idlewild,Indie Game: The Movie,Coriolanus,Beer League,Movie 43,The Night Listener,Grandma's Boy,Reindeer Games,The Crying Game,Should've Been Romeo,Faster,Southland Tales"
"Silent Hill,The Fog,House at the End of the Street,30 Days of Night,What a Girl Wants,H.,After,Troop Beverly Hills,Love's Abiding Joy,I Spit on Your Grave,Beloved,Carousel of Revenge,Aliens vs Predator: Requiem,Brigham City,Darkness Falls,Snow Angels,The Quick and the Dead,Take Shelter,Disturbing Behavior,Twixt,Chocolat,Goosebumps,Dream House,The Hills Have Eyes,Opal Dream"
"The Replacements,How to Fall in Love,Should've Been Romeo,Kicking & Screaming,Me You and Five Bucks,The Mighty Ducks,Playing for Keeps,The Love Guru,3 Strikes,Cool Runnings,The Bad News Bears,Stripes,The Waterboy,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Commando,A Guy Thing,The 5th Quarter,Charlie St. Cloud,A Nightmare on Elm Street 3: Dream Warriors,Men with Brooms,Trees Lounge,The Cookout,Jeff, Who Lives at Home,Take Me Home Tonight,Fool's Gold"
"American Reunion,Welcome Home Roscoe Jenkins,The Best Man Holiday,American Wedding,Sleepover,The Inkwell,Dumb and Dumber To,American Desi,Sorority Boys,Grown Ups 2,Forget Me Not,Extreme Movie,Bad Moms,The Ten,Bubble Boy,Being Julia,Hot Tub Time Machine 2,The New Guy,The Mirror Has Two Faces,Without a Paddle,Hotel Transylvania,Bring It On,Tremors,American Pie,Slackers"
"The Negotiator,Hostage,Freeze Frame,L.A. Confidential,A Time to Kill,I Am Wrath,The Glimmer Man,Sea of Love,The Caveman's Valentine,Albino Alligator,Frenzy,Wonderland,Edge of Darkness,Zodiac,Frequency,Young Sherlock Holmes,Jimmy and Judy,In the Valley of Elah,Red Riding: In the Year of Our Lord 1974,Proof of Life,Romeo Is Bleeding,Drowning Mona,Cop Land,Blood Work,Street Kings"
"Into the Storm,Alvin and the Chipmunks: The Road Chip,Training Day,Final Destination 3,Sherlock Holmes,Thirteen Days,The Darkest Hour,Laws of Attraction,San Andreas,The Legend of Tarzan,A Sound of Thunder,Sherlock Holmes: A Game of Shadows,The Gallows,Nighthawks,Don't Say a Word,Eight Legged Freaks,Outbreak,Central Intelligence,Valentine,The Phantom,3 Backyards,Jupiter Ascending,Dumb and Dumber To,Ghostbusters,Teenage Mutant Ninja Turtles III"
"Beverly Hills Cop III,Beverly Hills Cop II,Beverly Hills Cop,Lethal Weapon 4,Narc,Pineapple Express,The Other Guys,Action Jackson,The Naked Gun 2½: The Smell of Fear,Hot Pursuit,Money Train,National Lampoon's Loaded Weapon 1,The Last Shot,Taxman,The Pink Panther,Stone Cold,Shooter,Bad Boys II,Corky Romano,Die Hard 2,The Bone Collector,Exit Wounds,Con Air,Paul Blart: Mall Cop 2,Training Day"
"Gremlins 2: The New Batch,Beetlejuice,Don't Be Afraid of the Dark,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Gremlins,The Lost Skeleton of Cadavra,Splice,Creepshow,Return to Oz,New Year's Eve,Private Benjamin,New Nightmare,Seed of Chucky,The Emperor's New Groove,Central Intelligence,Lady in the Water,Alvin and the Chipmunks: The Road Chip,The Green Inferno,P.S. I Love You,The Devil's Advocate,New York Stories,The Toxic Avenger,C.H.U.D.,Scooby-Doo 2: Monsters Unleashed,The Out-of-Towners"
"The Judge,Hamlet,A Civil Action,American Sniper,Home Fries,Gran Torino,All Is Lost,Jeff, Who Lives at Home,Garden State,Forsaken,Wild Target,Should've Been Romeo,The Mudge Boy,Imagine That,City By The Sea,After Earth,Charlie St. Cloud,The Verdict,Sherlock Holmes: A Game of Shadows,My Cousin Vinny,Faster,Big Fish,Cavite,1982,Boogeyman"
"The Peacemaker,The Tuxedo,Under Siege 2: Dark Territory,Train,Abduction,The Missing Person,Source Code,The Train,Act of Valor,Eagle Eye,Transsiberian,Switchback,The First Great Train Robbery,Blade: Trinity,Shooter,After,Eraser,Executive Decision,The Island,Basic,Sands of Iwo Jima,The Sound and the Shadow,Mindhunters,The Last Castle,Space Cowboys"
"Resident Evil: Apocalypse,Resident Evil: Extinction,Resident Evil,Slither,Diary of the Dead,Resident Evil: Retribution,Daybreakers,Waterworld,Re-Kill,C.H.U.D.,Resident Evil: Afterlife,Mutant World,Teenage Mutant Ninja Turtles,Prophecy,The Hills Have Eyes 2,The Matrix,Miss Congeniality 2: Armed and Fabulous,Beneath the Planet of the Apes,Night of the Living Dead,Pandorum,Paranormal Activity 3,Escape from New York,Total Recall,The Golden Child,Teenage Mutant Ninja Turtles: Out of the Shadows"
"Bridget Jones: The Edge of Reason,Bridget Jones's Diary,Imagine Me & You,Love Actually,Anna Karenina,Thunderbirds,Elizabeth,It's a Wonderful Afterlife,The Piano,Nanny McPhee and the Big Bang,Raising Helen,Definitely, Maybe,The Iron Lady,The World's End,Full Frontal,Harrison Montgomery,Atonement,The Big Lebowski,40 Days and 40 Nights,The Interpreter,It's Complicated,London Has Fallen,Under the Tuscan Sun,Smokin' Aces,Pride & Prejudice"
"Out of Time,Police Academy,S.W.A.T.,The Guard,Street Kings,2 Fast 2 Furious,The Replacement Killers,In the Valley of Elah,Red Riding: In the Year of Our Lord 1974,The Skulls,Jimmy and Judy,The Betrayed,Antitrust,Saw III,City By The Sea,Crimson Tide,Freeze Frame,The Fast and the Furious: Tokyo Drift,The Untouchables,The Amityville Horror,Frenzy,Margin Call,Drive Angry,Dreaming of Joseph Lees,The Fast and the Furious"
"On Deadly Ground,Sicko,The Hudsucker Proxy,In Too Deep,Pale Rider,The Bodyguard,Michael Collins,Midnight in the Garden of Good and Evil,Iraq for Sale: The War Profiteers,San Andreas,Hollow Man,3000 Miles to Graceland,Blade Runner,Get Carter,The Clan of the Cave Bear,The Long Kiss Goodnight,Red Planet,Under Siege 2: Dark Territory,Get Smart,Jurassic Park III,Osmosis Jones,The Matrix Revolutions,Swordfish,Bad Company,Awake"
"The Adventures of Sharkboy and Lavagirl,Mad Max Beyond Thunderdome,The Adventures of Huck Finn,Mad Max,Puss in Boots,Spy Kids,Commando,Sheena,Jungle Shuffle,30 Minutes or Less,Max Keeble's Big Move,The Incredibles,Jaws: The Revenge,Star Trek,Stuart Little 2,The Other Side of Heaven,Delgo,Mad Max: Fury Road,The Adventures of Pinocchio,Inkheart,Nicholas Nickleby,Return of the Jedi,Jimmy Neutron: Boy Genius,The Big Hit,Total Recall"
"The Beach,Psycho Beach Party,Down in the Valley,The Shallows,Romeo + Juliet,Impact Point,Safety Not Guaranteed,Yes,Code 46,Southland Tales,Sharknado,Bella,Virgin Territory,Meek's Cutoff,The Piano,Reno 911!: Miami,Alexander,The Last Song,Boynton Beach Club,Gosford Park,Brooklyn,Ararat,Redacted,Submarine,Grabbers"
"Raising Helen,Shopgirl,The Life Aquatic with Steve Zissou,Life or Something Like It,Rent,Synecdoche, New York,Under the Tuscan Sun,Cheap Thrills,Anything Else,Living Out Loud,Nurse Betty,Up,The Duchess,A Walk to Remember,Mystery, Alaska,Inside Out,There's Always Woodstock,New in Town,Autumn in New York,Rampage,Memoirs of an Invisible Man,Shadowlands,City By The Sea,Bridget Jones: The Edge of Reason,What a Girl Wants"
"Ninja Assassin,The Gunman,Lucky Number Slevin,Patriot Games,Assassins,Crank,The Mechanic,Malone,The Sentinel,Wild Target,Killers,Wanted,The Bourne Supremacy,State of Play,Bangkok Dangerous,Silent Trigger,The Whole Ten Yards,Hanna,Mr. & Mrs. Smith,JFK,DOA: Dead or Alive,The Replacement Killers,Lethal Weapon 4,Sherlock Holmes: A Game of Shadows,Collateral"
"For Love of the Game,What's Eating Gilbert Grape,Forrest Gump,Cinderella Man,The Girl Next Door,Up Close & Personal,Trouble with the Curve,Endless Love,One True Thing,She's the Man,To Write Love on Her Arms,Southpaw,City By The Sea,First Knight,The Flintstones in Viva Rock Vegas,Mary Reilly,Mrs. Winterbourne,Free Style,Jerry Maguire,Imagine That,Love Letters,Lucky You,A Walk to Remember,Beginners,Wimbledon"
"Striptease,Absolute Power,Lone Star,Zero Effect,Envy,Hamlet,City Hall,Lord of War,Faster,Fun with Dick and Jane,Salton Sea,Payback,The Replacement Killers,Freeze Frame,N-Secure,On the Waterfront,The Place Beyond the Pines,Sexy Beast,American Hustle,Chappie,Young Sherlock Holmes,City By The Sea,Deadfall,Prisoners,Timecop"
"Marmaduke,The Full Monty,The Simpsons Movie,Bulworth,Glee: The Concert Movie,Garfield,Fantastic Mr. Fox,The Book of Life,Shallow Hal,Gentleman's Agreement,How Green Was My Valley,Where the Heart Is,The Secret Life of Walter Mitty,Marley & Me,The Shaggy Dog,Welcome to Mooseport,Cheaper by the Dozen 2,Big Momma's House,Anastasia,Night at the Museum,Romeo + Juliet,Glitter,The Rose,Love Me Tender,Ice Age"
"Hereafter,Bogus,The Green Mile,Poseidon,Outbreak,ATL,The Bridges of Madison County,JFK,Blood Diamond,Collateral Damage,Mad City,Dolphin Tale,Mystic River,The Curious Case of Benjamin Button,Invictus,Gossip,The Illusionist,Flags of Our Fathers,Charlie and the Chocolate Factory,White Noise 2: The Light,Dragonfly,Butterfly on a Wheel,The Informant!,Looney Tunes: Back in Action,The Blue Butterfly"
"Murder by Numbers,Insomnia,Novocaine,Edge of Darkness,Righteous Kill,Deadfall,Frailty,Amadeus,Bride of Chucky,A Time to Kill,Secret in Their Eyes,The Glimmer Man,The General's Daughter,Freeze Frame,Child 44,The Secret,The Oxford Murders,Tango & Cash,Colombiana,Nancy Drew,Sherlock Holmes,Midnight in the Garden of Good and Evil,Sicario,Green Room,In Cold Blood"
"Assassins,Ninja Assassin,The Gunman,Crank,Patriot Games,Wild Target,The Big Hit,The Bourne Supremacy,Bangkok Dangerous,Lethal Weapon 4,Lucky Number Slevin,The Mechanic,The Whole Ten Yards,Wanted,Sherlock Holmes: A Game of Shadows,Bad Company,Conspiracy Theory,Harsh Times,Dutch Kills,The Assassination of Jesse James by the Coward Robert Ford,Killers,Hitman,See Spot Run,Get Carter,Collateral"
"Hannibal Rising,Spider,Shame,Wah-Wah,Movie 43,Harrison Montgomery,American Psycho,Headhunters,The Bad Lieutenant: Port of Call - New Orleans,The 51st State,The Night Listener,Harry Brown,Coriolanus,Only God Forgives,Severance,Redacted,The Wind That Shakes the Barley,Stolen,The Rite,Clay Pigeons,Perrier’s Bounty,The Last King of Scotland,The Proposition,Sin City: A Dame to Kill For,Should've Been Romeo"
"The Story of Us,Before Sunset,Hope Springs,Crazy/Beautiful,When Harry Met Sally...,The Four Seasons,My Best Friend's Wedding,200 Cigarettes,Definitely, Maybe,The Vow,Seabiscuit,Did You Hear About the Morgans?,The Last Five Years,Four Weddings and a Funeral,The Inkwell,Driving Miss Daisy,You, Me and Dupree,Leap Year,Music and Lyrics,The Fountain,Enough Said,Joy,The Break-Up,Lovely & Amazing,Larry Crowne"
"The Host,The Host,Impostor,The Core,Battlefield Earth,AVP: Alien vs. Predator,Death Race,The Fourth Kind,A Sound of Thunder,The 5th Wave,Under the Skin,Predator,The Day the Earth Stood Still,Extreme Ops,Machete Kills,Prometheus,Surrogates,Alien,Hidalgo,Pandorum,Never Let Me Go,Virgin Territory,Code 46,Battleship,Cloud Atlas"
"The Host,The Host,Impostor,The Core,Battlefield Earth,AVP: Alien vs. Predator,Death Race,The Fourth Kind,A Sound of Thunder,The 5th Wave,Under the Skin,Predator,The Day the Earth Stood Still,Extreme Ops,Machete Kills,Prometheus,Surrogates,Alien,Pandorum,Hidalgo,Never Let Me Go,Virgin Territory,Code 46,Battleship,Cloud Atlas"
"Basic,The Hunted,Ballistic: Ecks vs. Sever,In the Valley of Elah,Drive,Romeo Is Bleeding,The Death and Life of Bobby Z,Abduction,Amidst the Devil's Wings,The Midnight Meat Train,End of Watch,Stolen,Bronson,Harry Brown,The Yards,Switchback,Smilla's Sense of Snow,Checkmate,Training Day,Deadfall,Regression,Swelter,The Fourth Kind,Gone Girl,Kiss of Death"
"Blood Work,The Silence of the Lambs,Zodiac,2:13,Untraceable,Bleeding Hearts,Edge of Darkness,In the Valley of Elah,The Bone Collector,The Pledge,Training Day,Blood and Wine,The Glimmer Man,Frenzy,Tinker Tailor Soldier Spy,Disclosure,I Am Wrath,Romeo Is Bleeding,Original Sin,Kiss the Girls,Red Riding: In the Year of Our Lord 1974,The Whole Nine Yards,Capote,Tin Cup,Mystic River"
"The International,The Algerian,End of Watch,United Passions,The Infiltrator,London Has Fallen,Step Up 3D,Beat the World,Thirteen,The Scorpion King,Headhunters,Give Me Shelter,Now You See Me,Agent Cody Banks 2: Destination London,Crying with Laughter,World War Z,Dawn of the Dead,The New World,Nightcrawler,Man on Wire,Righteous Kill,The Frozen Ground,Johnny English Reborn,Megiddo: The Omega Code 2,The World's Fastest Indian"
"Escape from L.A.,Lethal Weapon 3,The Island,Timecop,Crocodile Dundee in Los Angeles,Blade Runner,Fortress,Total Recall,Star Trek VI: The Undiscovered Country,Star Trek III: The Search for Spock,Next Friday,Terminator Genisys,Charlie's Angels,The Count of Monte Cristo,S.W.A.T.,War of the Worlds,Knowing,Escape from New York,The Big Hit,Escape Plan,Big Trouble in Little China,White House Down,The Incredibles,Star Trek: First Contact,Star Trek V: The Final Frontier"
"The Iron Giant,The Lego Movie,Osmosis Jones,The Curse of the Were-Rabbit,Spirit: Stallion of the Cimarron,Looney Tunes: Back in Action,Barnyard,Flushed Away,Valiant,Alpha and Omega: The Legend of the Saw Tooth Cave,Puss in Boots,The Boxtrolls,Legend of the Guardians: The Owls of Ga'Hoole,The Lion of Judah,Dwegons,Rio,Jungle Shuffle,Titan A.E.,Over the Hedge,Mr. Peabody & Sherman,Madagascar,The Ant Bully,TMNT,The Croods,Epic"
"The Life Aquatic with Steve Zissou,Raising Helen,Spice World,Shopgirl,What a Girl Wants,The Secret Life of Walter Mitty,King Kong,Under the Tuscan Sun,Life of Pi,The Duchess,Edtv,Life or Something Like It,A Cock and Bull Story,Out of Africa,Blackthorn,Napoleon Dynamite,Man on the Moon,Southland Tales,Rent,Last Holiday,Nurse Betty,The Iron Lady,Triangle,Up,High Heels and Low Lifes"
"Free State of Jones,Monty Python and the Holy Grail,A Knight's Tale,First Knight,Kingdom of Heaven,Rockaway,Robin Hood,Gladiator,Sinister,Jarhead,Apocalypto,Three Kingdoms: Resurrection of the Dragon,American Sniper,W.,Batman,Batman,Alexander,Wish I Was Here,10th & Wolf,Commando,Walking Tall,Punisher: War Zone,We Bought a Zoo,Gran Torino,J. Edgar"
"The Life of David Gale,The Spanish Prisoner,The Pledge,Butterfly on a Wheel,Bride of Chucky,A Sound of Thunder,The Bad Lieutenant: Port of Call - New Orleans,Doom,Adam,Amidst the Devil's Wings,Colombiana,Rampage,The Black Dahlia,Mindhunters,Spring Breakers,The Howling,The General's Daughter,Deadfall,Clay Pigeons,The Face of an Angel,I Am Wrath,The League of Extraordinary Gentlemen,Grindhouse,Nighthawks,Dancer in the Dark"
"Man of the House,Machete,Dazed and Confused,Bad Boys,The One,Dallas Buyers Club,Khiladi 786,Novocaine,Killer Joe,Undercover Brother,Point Break,House of 1000 Corpses,The Specials,Bride of Chucky,Lone Wolf McQuade,Did You Hear About the Morgans?,Tomcats,Kindergarten Cop,Close Range,2 Guns,Central Intelligence,The Texas Chainsaw Massacre 2,Big Mommas: Like Father, Like Son,Hostel: Part II,Happy, Texas"
"Run All Night,Confidence,Prisoners,The Boy,Hesher,The Prince,Kickboxer: Vengeance,Knowing,We Bought a Zoo,The Replacement Killers,The R.M.,Alex Cross,Bully,Saw III,Timecop,Punisher: War Zone,City By The Sea,My Dog Skip,Death Sentence,Freeze Frame,Young Sherlock Holmes,Code of Honor,The Equalizer,Nicholas Nickleby,Code Name: The Cleaner"
"Eastern Promises,Harrison Montgomery,Headhunters,London Has Fallen,Cube,Jindabyne,Imagine Me & You,Sin City: A Dame to Kill For,The Calling,Severance,Made in Dagenham,The Wind That Shakes the Barley,Triangle,Ararat,The Face of an Angel,Furious 7,Blindness,Machete Kills,Trainspotting,The Bad Lieutenant: Port of Call - New Orleans,My Week with Marilyn,Cecil B. Demented,Vera Drake,End of Watch,Straightheads"
"Into the Blue,Bandits,Sherlock Holmes: A Game of Shadows,Nowhere to Run,Hope Springs,Gridiron Gang,Cutthroat Island,Robin and Marian,Captain Phillips,Ghostbusters,Extreme Ops,Kingpin,The Shallows,High Heels and Low Lifes,Rambo III,The Pink Panther,Lara Croft Tomb Raider: The Cradle of Life,G.I. Joe: Retaliation,Triple 9,Action Jackson,S.W.A.T.,Open Water,The Bone Collector,Thunderball,30 Minutes or Less"
"Your Highness,Dragonslayer,Ride Along 2,DragonHeart,Hamlet,Monty Python and the Holy Grail,Date Movie,Freddy Got Fingered,Porky's,Wanted,The Beastmaster,Extreme Movie,Into the Woods,Bachelorette,The Prince & Me,The Scorpion King,Grosse Pointe Blank,Ghost Rider,Imagine That,Bruce Almighty,Krull,The Princess Diaries,The Tale of Despereaux,Stardust,Screwed"
"Dream House,The Pledge,The Trouble with Harry,Sinister,All Good Things,Brigham City,Carousel of Revenge,The Claim,Breakdown,Sea of Love,Drowning Mona,A Million Ways to Die in the West,House at the End of the Street,High Crimes,The Sound and the Shadow,Double Jeopardy,Rockaway,City By The Sea,Flightplan,Midnight Cowboy,The Caveman's Valentine,The Judge,Psycho,The Work and the Glory,Four Single Fathers"
"Mad City,Collateral Damage,Celebrity,Lethal Weapon 4,Training Day,Dark Shadows,Mad Max,The Shining,It's a Mad, Mad, Mad, Mad World,Harsh Times,Outbreak,Salvador,Twister,Death to Smoochy,Gangster Squad,Looney Tunes: Back in Action,American Sniper,Mad Max Beyond Thunderdome,Blood Diamond,Get Carter,Creed,Shattered Glass,Driving Lessons,Should've Been Romeo,Gran Torino"
"Baby's Day Out,Baby Geniuses,Superbabies: Baby Geniuses 2,Baby Mama,Neighbors,Where the Heart Is,The Full Monty,Drive Angry,Batman,Batman,Jimmy Neutron: Boy Genius,The Marine,The Book of Life,Independence Day: Resurgence,Marmaduke,Aliens in the Attic,L!fe Happens,Ice Age,The Back-Up Plan,Kung Fu Panda 3,Live Free or Die Hard,30 Minutes or Less,Conquest of the Planet of the Apes,Knight and Day,Anastasia"
"The Scarlet Letter,Seabiscuit,Becoming Jane,Barry Munday,September Dawn,Anonymous,Cinderella Man,Evita,Sausage Party,Winter's Tale,Goosebumps,A Walk to Remember,Showgirls,Joy,13 Hours: The Secret Soldiers of Benghazi,Ghostbusters,The Majestic,Tombstone,American Hustle,Just Wright,The 33,Slumdog Millionaire,A Sound of Thunder,K-19: The Widowmaker,Daddy's Home"
"Fair Game,Raising Helen,Fur: An Imaginary Portrait of Diane Arbus,Synecdoche, New York,The November Man,Syriana,Life or Something Like It,The Bourne Legacy,The Last Station,Addicted,Inside Out,Flatliners,Winnie Mandela,Limbo,The Tree of Life,Hesher,Dying of the Light,Sicario,Son of God,The Net,Fugly,Up,Out of Africa,Rendition,The World's Fastest Indian"
"Domino,Amidst the Devil's Wings,Welcome to the Rileys,The 51st State,The New World,Blade: Trinity,The Bad Lieutenant: Port of Call - New Orleans,Me and Orson Welles,Code Name: The Cleaner,Mindhunters,Enemy of the State,After the Sunset,Anaconda,Jersey Girl,Appaloosa,Miss Congeniality 2: Armed and Fabulous,Cellular,A Man Apart,We're the Millers,Unstoppable,Nighthawks,Blood Ties,Into the Storm,Snakes on a Plane,Central Intelligence"
"Jade,Virtuosity,Freeze Frame,Disclosure,Shutter Island,Phantasm II,Double Jeopardy,Fatal Attraction,Star Trek II: The Wrath of Khan,The Big Hit,Zodiac,Dressed to Kill,A Civil Action,Young Sherlock Holmes,Little Fockers,The Curious Case of Benjamin Button,Beginners,The R.M.,Layer Cake,Forrest Gump,Domestic Disturbance,Congo,Edge of Darkness,Grosse Pointe Blank,The Good German"
"Gamer,Fortress,Ripley's Game,Indie Game: The Movie,The Hunger Games: Catching Fire,eXistenZ,The Hunger Games: Mockingjay - Part 1,Wreck-It Ralph,Mortal Kombat: Annihilation,Spy Kids 3-D: Game Over,The Hunger Games,Reindeer Games,Casino Royale,Beer League,Supercapitalist,Ender's Game,The Running Man,Checkmate,Saw III,Escape from L.A.,The Matrix Reloaded,Finishing The Game,Batman,Batman,The Game"
"Beautiful Creatures,Percy Jackson: Sea of Monsters,The Twilight Saga: Breaking Dawn - Part 2,The Fault in Our Stars,The Twilight Saga: New Moon,Moonlight Mile,The Twilight Saga: Eclipse,Mystic River,Just Wright,Crazy, Stupid, Love.,The Lego Movie,Twilight,Timecop,Eight Legged Freaks,The Sisterhood of the Traveling Pants,Pay It Forward,Winter's Tale,Quest for Camelot,Victor Frankenstein,Batman: The Dark Knight Returns, Part 2,Night at the Museum: Secret of the Tomb,Practical Magic,Phenomenon,Slumdog Millionaire,Redemption Road"
"Death to Smoochy,Movie 43,Perrier’s Bounty,The Yards,Nightcrawler,L.A. Confidential,Should've Been Romeo,Auto Focus,Only God Forgives,Romeo Is Bleeding,Wild Target,American Psycho,She's All That,Bedtime Stories,The Whole Ten Yards,The Ant Bully,Hannibal Rising,The Truman Show,Mad City,Top Five,Blue Like Jazz,Interview with the Assassin,Solitary Man,Man on the Moon,Nowhere Boy"
"Zoolander 2,Zoolander,The Secret Life of Walter Mitty,Starsky & Hutch,Duplex,The Royal Tenenbaums,Tropic Thunder,While We're Young,Marvin's Room,DodgeBall: A True Underdog Story,Wonder Boys,South Park: Bigger, Longer & Uncut,Submarine,Cheri,Around the World in 80 Days,The Internship,Anchorman: The Legend of Ron Burgundy,Virgin Territory,Anchorman 2: The Legend Continues,Hardball,Along Came Polly,Old School,The Imaginarium of Doctor Parnassus,Night at the Museum: Battle of the Smithsonian,Doubt"
"The Big Bounce,Big Momma's House 2,Dinner for Schmucks,Big Eyes,The Greatest Movie Ever Sold,The Big Year,Made,The Hotel New Hampshire,Closer to the Moon,Alice Through the Looking Glass,Casino Jack,The Singing Detective,Furry Vengeance,Wild Card,The Grand Budapest Hotel,Secret in Their Eyes,Saving Private Perez,Eulogy,My Name Is Bruce,Blood Ties,City Island,House of D,Safe Men,Mean Streets,Think Like a Man Too"
